system,label,n_positives,Hit@1,R@1,Hit@3,R@3,Hit@5,R@5,Hit@10,R@10,Hit@20,R@20,Hit@50,R@50,Hit@100,R@100,variant
BM25,Climate change,42,1,0.0238,1,0.0714,1,0.119,1,0.2143,1,0.2619,1,0.5,1,0.5952,def_only
BM25,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
BM25,Conservation,53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0566,def_only
BM25,Fisheries management,7,1,0.1429,1,0.2857,1,0.2857,1,0.5714,1,0.7143,1,0.8571,1,0.8571,def_only
BM25,Framework,44,0,0.0,0,0.0,1,0.0455,1,0.0455,1,0.0455,1,0.1136,1,0.1364,def_only
BM25,Greenery,8,0,0.0,0,0.0,0,0.0,1,0.125,1,0.25,1,0.375,1,0.75,def_only
BM25,Heritage inclusion,27,0,0.0,0,0.0,0,0.0,1,0.0741,1,0.0741,1,0.0741,1,0.2222,def_only
BM25,Human activities,12,0,0.0,0,0.0,0,0.0,1,0.0833,1,0.1667,1,0.25,1,0.4167,def_only
BM25,Knowledge transfer,63,0,0.0,1,0.0159,1,0.0159,1,0.0159,1,0.0317,1,0.1587,1,0.254,def_only
BM25,Legislation,35,0,0.0,0,0.0,0,0.0,1,0.0286,1,0.0286,1,0.1143,1,0.2571,def_only
BM25,Limited heritage inclusion,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,def_only
BM25,Management variation,5,0,0.0,1,0.2,1,0.2,1,0.4,1,0.4,1,0.6,1,0.8,def_only
BM25,Maritime management,2,0,0.0,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,def_only
BM25,Monitoring,32,0,0.0,1,0.0312,1,0.0312,1,0.0312,1,0.0625,1,0.0938,1,0.2188,def_only
BM25,Multi-level management,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
BM25,Prohibition,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
BM25,Research,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
BM25,Research gap,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
BM25,Restoration,5,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,1,0.4,1,0.4,def_only
BM25,Soil subsidence,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,def_only
BM25,Stakeholder collaboration,39,1,0.0256,1,0.0256,1,0.0513,1,0.0513,1,0.0513,1,0.0769,1,0.1026,def_only
BM25,Water management,40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,1,0.125,def_only
Bi-encoder,Adaptation,14,0,0.0,0,0.0,1,0.0714,1,0.1429,1,0.1429,1,0.3571,1,0.5,def_only
Bi-encoder,Assessment,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0909,def_only
Bi-encoder,Climate change,42,1,0.0238,1,0.0476,1,0.0476,1,0.0952,1,0.119,1,0.3333,1,0.5476,def_only
Bi-encoder,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
Bi-encoder,Conservation,53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0566,def_only
Bi-encoder,Fisheries management,7,1,0.1429,1,0.4286,1,0.5714,1,0.8571,1,0.8571,1,1.0,1,1.0,def_only
Bi-encoder,Framework,44,0,0.0,0,0.0,0,0.0,1,0.0227,1,0.1136,1,0.1364,1,0.2273,def_only
Bi-encoder,Greenery,8,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,1,0.25,1,0.375,def_only
Bi-encoder,Heritage inclusion,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111,1,0.2593,def_only
Bi-encoder,Human activities,12,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0833,1,0.3333,1,0.75,def_only
Bi-encoder,Knowledge transfer,63,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0317,1,0.0476,1,0.127,def_only
Bi-encoder,Legislation,35,0,0.0,0,0.0,0,0.0,1,0.0286,1,0.1143,1,0.2,1,0.2571,def_only
Bi-encoder,Limited heritage inclusion,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
Bi-encoder,Management variation,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.4,def_only
Bi-encoder,Maritime management,2,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,def_only
