n_positives,P@5,R@5,P@10,R@10,P@20,R@20,AP,MRR,Hit@1,Hit@3,system,label
22,0.2,0.045454545454545456,0.2,0.09090909090909091,0.1,0.09090909090909091,0.08053633665067604,1.0,1,1,Dense + Rerank,Assessment
42,0.8,0.09523809523809523,0.5,0.11904761904761904,0.45,0.21428571428571427,0.2876660675423523,1.0,1,1,Dense + Rerank,Climate change
25,0.0,0.0,0.0,0.0,0.0,0.0,0.01514639784192129,0.009174311926605505,0,0,Dense + Rerank,Coherence
53,0.0,0.0,0.0,0.0,0.0,0.0,0.032081785618805835,0.016129032258064516,0,0,Dense + Rerank,Conservation
7,0.2,0.14285714285714285,0.1,0.14285714285714285,0.2,0.5714285714285714,0.31264237282474366,1.0,1,1,Dense + Rerank,Fisheries management
44,0.4,0.045454545454545456,0.2,0.045454545454545456,0.2,0.09090909090909091,0.08926712111694712,0.5,0,1,Dense + Rerank,Framework
8,0.2,0.125,0.2,0.25,0.1,0.25,0.0913144458137983,0.3333333333333333,0,1,Dense + Rerank,Greenery
27,0.2,0.037037037037037035,0.1,0.037037037037037035,0.1,0.07407407407407407,0.04803413887404659,0.5,0,1,Dense + Rerank,Heritage inclusion
12,0.0,0.0,0.0,0.0,0.05,0.08333333333333333,0.06491027363799333,0.07692307692307693,0,0,Dense + Rerank,Human activities
63,0.2,0.015873015873015872,0.1,0.015873015873015872,0.1,0.031746031746031744,0.06041257151584938,0.25,0,0,Dense + Rerank,Knowledge transfer
34,0.0,0.0,0.0,0.0,0.1,0.058823529411764705,0.06494000047472015,0.058823529411764705,0,0,Dense + Rerank,Legislation
4,0.0,0.0,0.0,0.0,0.0,0.0,0.003998520641195839,0.003105590062111801,0,0,Dense + Rerank,Limited heritage inclusion
5,0.0,0.0,0.0,0.0,0.0,0.0,0.00964908667620791,0.014705882352941176,0,0,Dense + Rerank,Management variation
2,0.4,1.0,0.2,1.0,0.1,1.0,0.5833333333333333,0.5,0,1,Dense + Rerank,Maritime management
32,0.2,0.03125,0.1,0.03125,0.05,0.03125,0.03606545267268107,0.25,0,0,Dense + Rerank,Monitoring
18,0.2,0.05555555555555555,0.2,0.1111111111111111,0.2,0.2222222222222222,0.10399612080529154,0.3333333333333333,0,1,Dense + Rerank,Multi-level management
6,0.0,0.0,0.0,0.0,0.0,0.0,0.002245257529681696,0.0013315579227696406,0,0,Dense + Rerank,Prohibition
23,0.0,0.0,0.0,0.0,0.05,0.043478260869565216,0.044511335169419686,0.09090909090909091,0,0,Dense + Rerank,Research
1,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.006329113924050633,0,0,Dense + Rerank,Research gap
5,0.0,0.0,0.0,0.0,0.0,0.0,0.02239945039397722,0.024390243902439025,0,0,Dense + Rerank,Restoration
2,0.2,0.5,0.1,0.5,0.1,1.0,0.5714285714285714,1.0,1,1,Dense + Rerank,Soil subsidence
39,0.2,0.02564102564102564,0.1,0.02564102564102564,0.05,0.02564102564102564,0.08128579157903322,1.0,1,1,Dense + Rerank,Stakeholder collaboration
40,0.2,0.025,0.1,0.025,0.15,0.075,0.09815800190842286,0.3333333333333333,0,1,Dense + Rerank,Water management
14,0.4,0.14285714285714285,0.2,0.14285714285714285,0.1,0.14285714285714285,0.0888033782032103,0.3333333333333333,0,1,Cross-encoder,Adaptation
22,0.2,0.045454545454545456,0.1,0.045454545454545456,0.05,0.045454545454545456,0.051622272686990406,0.5,0,1,Cross-encoder,Assessment
42,1.0,0.11904761904761904,0.7,0.16666666666666666,0.4,0.19047619047619047,0.250324927046493,1.0,1,1,Cross-encoder,Climate change
25,0.0,0.0,0.0,0.0,0.0,0.0,0.009987704683308712,0.005747126436781609,0,0,Cross-encoder,Coherence
53,0.0,0.0,0.1,0.018867924528301886,0.15,0.05660377358490566,0.05097601041390419,0.14285714285714285,0,0,Cross-encoder,Conservation
7,0.2,0.14285714285714285,0.1,0.14285714285714285,0.05,0.14285714285714285,0.1673005611251432,1.0,1,1,Cross-encoder,Fisheries management
44,0.2,0.022727272727272728,0.2,0.045454545454545456,0.15,0.06818181818181818,0.0649441290093213,0.5,0,1,Cross-encoder,Framework
8,0.2,0.125,0.2,0.25,0.2,0.5,0.18620466971705596,0.2,0,0,Cross-encoder,Greenery
27,0.2,0.037037037037037035,0.1,0.037037037037037035,0.05,0.037037037037037035,0.04564647523960875,0.3333333333333333,0,1,Cross-encoder,Heritage inclusion
12,0.2,0.08333333333333333,0.1,0.08333333333333333,0.05,0.08333333333333333,0.1687366316620875,1.0,1,1,Cross-encoder,Human activities
63,0.0,0.0,0.1,0.015873015873015872,0.1,0.031746031746031744,0.0933790293687685,0.1,0,0,Cross-encoder,Knowledge transfer
34,0.0,0.0,0.0,0.0,0.05,0.029411764705882353,0.05281246488052582,0.05555555555555555,0,0,Cross-encoder,Legislation
4,0.2,0.25,0.1,0.25,0.05,0.25,0.26393065238301966,1.0,1,1,Cross-encoder,Limited heritage inclusion
5,0.2,0.2,0.1,0.2,0.05,0.2,0.21875832235808498,1.0,1,1,Cross-encoder,Management variation
2,0.4,1.0,0.2,1.0,0.1,1.0,0.5,0.5,0,1,Cross-encoder,Maritime management
32,0.2,0.03125,0.2,0.0625,0.1,0.0625,0.04906569313879743,0.25,0,0,Cross-encoder,Monitoring
18,0.0,0.0,0.1,0.05555555555555555,0.05,0.05555555555555555,0.05763307613010122,0.125,0,0,Cross-encoder,Multi-level management
6,0.0,0.0,0.0,0.0,0.0,0.0,0.004380204529538495,0.007751937984496124,0,0,Cross-encoder,Prohibition
23,0.0,0.0,0.0,0.0,0.0,0.0,0.015065126684444503,0.047619047619047616,0,0,Cross-encoder,Research
1,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.005434782608695652,0,0,Cross-encoder,Research gap
5,0.4,0.4,0.2,0.4,0.15,0.6,0.25315126050420167,0.5,0,1,Cross-encoder,Restoration
2,0.2,0.5,0.1,0.5,0.05,0.5,0.5434782608695652,1.0,1,1,Cross-encoder,Soil subsidence
39,0.2,0.02564102564102564,0.1,0.02564102564102564,0.05,0.02564102564102564,0.0675937357282044,1.0,1,1,Cross-encoder,Stakeholder collaboration
40,0.2,0.025,0.1,0.025,0.15,0.075,0.05595177734328577,0.25,0,0,Cross-encoder,Water management
