system,MRR,Hit@1,Hit@3,P@5,P@10,P@20,R@5,R@10,R@20,MAP
BM25,0.3176924495133648,0.20833333333333334,0.3333333333333333,0.15,0.13749999999999998,0.10625000000000001,0.07087547868797868,0.14506429141845809,0.21103470104695596,0.13020891411418328
Bi-encoder,0.22996661569282897,0.16666666666666666,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.07083333333333335,0.07522429261559697,0.11576856588045846,0.16109320341257682,0.1300241660282003
Cross-encoder,0.4523596774886827,0.2916666666666667,0.5416666666666666,0.19166666666666668,0.12916666666666668,0.08750000000000001,0.13125854662312997,0.14446241396909634,0.17069397339294212,0.13604921442976486
Dense + Rerank,0.359798115121927,0.20833333333333334,0.5,0.16666666666666666,0.09999999999999999,0.09375000000000001,0.09530075441533774,0.10570990544948877,0.1698911107965083,0.1174051355359097
